범주,예시표현,간략 정의/맥락,label
정치,찢재명,"이재명 대표의 과거 형수 욕설 녹취록에서 유래한 대표적 부정적 별명, 공격적이고 혐오적인 표현",혐오 발언
정치,내란견,"윤석열 대통령 강성 지지자 중 비상계엄 옹호자를 '내란에 동조하는 개'로 비하하는 집단 혐오 표현",혐오 발언 
정치,대깨윤,"'대가리가 깨져도 윤석열'의 줄임말, 윤 대통령의 극단적이고 맹목적 지지자 비하 표현",혐오 발언
정치,두창견,"윤석열 대통령의 다른 멸칭(윤두창)과 연관된 강성 지지자 대상 혐오 표현",혐오 발언
정치,1찍,"민주당을 지지하는 사람을 1찍으로 비하하는 용어",혐오 발언
정치,2찍,"국민의 힘을 지지하는 사람을 2찍으로 비하하는 용어",혐오 발언
정치,토착왜구,"국내 정치 세력(주로 보수)을 친일파로 비난하는 용어, 민족 감정을 이용하는 비하 용어",혐오 발언
게임,그래도 미드는 진다,"LoL T1팀 페이커 선수를 패배 원인으로 지목하는 조롱적이고 비하적인 밈",혐오 발언
젠더,삼일한,"'여자는 3일에 한 번 때려야 한다'는 폭력 선동 여성혐오 표현",혐오 발언
젠더,보전깨,"여성 성기 훼손 암시하는 극단적 성폭력,신체 훼손 암시 여성 혐오 표현",혐오 발언
젠더,상폐녀,"'상장 폐지된 여자'라는 뜻으로 30대 이상 여성을 결혼/연애 시장 가치 없다고 폄하하는 연령 차별 및 성차별 표현",혐오 발언
젠더,퐁퐁남,"결혼한 남성이 아내에게 경제적/감정적으로 착취당한다는 시각의 신조어 (반페미 커뮤니티 사용)",혐오 발언
인종,착짱죽짱,"'착한 짱깨는 죽은 짱깨뿐', 중국인 대상 극단적 폭력 선동, 혐오 표현",혐오 발언
인종,화짱조,"'화교, 짱깨, 조선족'의 줄임말로, 화교, 조선족, 중국인을 총칭하는 혐오성 인종차별 표현",혐오 발언
기타 (계층/직업),국평오,"'국민 평균은 수능 5등급'이라는 뜻으로 일반 대중 지적 수준을 무시하고 비하하는 표현 ",혐오 발언
기타 (계층/직업),딸피,"게임 내에서 죽기 직전의 캐릭터를 딸피라고 부르는 것에서 유래한 나이 든 사람을 비하하는 혐오 표현",혐오 발언
